date,store_id,item_id,price,promotion,holiday,day_of_week,sales
2021-01-01,1,1,36.30830386214626,0,0,4,153
2021-01-02,1,1,36.30830386214626,0,0,5,180
2021-01-03,1,1,36.30830386214626,0,0,6,175
2021-01-04,1,1,36.30830386214626,0,0,0,144
2021-01-05,1,1,36.30830386214626,0,0,1,161
2021-01-06,1,1,36.30830386214626,0,0,2,154
2021-01-07,1,1,36.30830386214626,0,0,3,177
2021-01-08,1,1,36.30830386214626,0,0,4,154
2021-01-09,1,1,36.30830386214626,0,0,5,159
2021-01-10,1,1,36.30830386214626,0,0,6,160
2021-01-11,1,1,36.30830386214626,0,0,0,150
2021-01-12,1,1,36.30830386214626,0,0,1,178
2021-01-13,1,1,36.30830386214626,0,0,2,166
2021-01-14,1,1,36.30830386214626,0,0,3,169
2021-01-15,1,1,36.30830386214626,0,0,4,147
2021-01-16,1,1,36.30830386214626,0,0,5,182
2021-01-17,1,1,36.30830386214626,0,0,6,173
2021-01-18,1,1,36.30830386214626,0,0,0,166
2021-01-19,1,1,36.30830386214626,0,0,1,155
2021-01-20,1,1,36.30830386214626,0,0,2,172
2021-01-21,1,1,36.30830386214626,0,0,3,169
2021-01-22,1,1,36.30830386214626,0,0,4,151
2021-01-23,1,1,36.30830386214626,0,0,5,168
2021-01-24,1,1,36.30830386214626,0,0,6,178
2021-01-25,1,1,36.30830386214626,1,0,0,190
2021-01-26,1,1,36.30830386214626,0,0,1,162
2021-01-27,1,1,36.30830386214626,0,0,2,160
2021-01-28,1,1,36.30830386214626,0,0,3,170
2021-01-29,1,1,36.30830386214626,0,0,4,153
2021-01-30,1,1,36.30830386214626,0,0,5,157
2021-01-31,1,1,36.30830386214626,0,0,6,160
2021-02-01,1,1,36.30830386214626,0,0,0,144
2021-02-02,1,1,36.30830386214626,1,0,1,171
2021-02-03,1,1,36.30830386214626,0,0,2,175
2021-02-04,1,1,36.30830386214626,0,0,3,136
2021-02-05,1,1,36.30830386214626,0,0,4,153
2021-02-06,1,1,36.30830386214626,0,0,5,172
2021-02-07,1,1,36.30830386214626,0,0,6,173
2021-02-08,1,1,36.30830386214626,0,0,0,148
2021-02-09,1,1,36.30830386214626,0,0,1,169
2021-02-10,1,1,36.30830386214626,0,0,2,180
2021-02-11,1,1,36.30830386214626,0,0,3,130
2021-02-12,1,1,36.30830386214626,0,0,4,157
2021-02-13,1,1,36.30830386214626,1,0,5,224
2021-02-14,1,1,36.30830386214626,0,0,6,169
2021-02-15,1,1,36.30830386214626,0,0,0,159
2021-02-16,1,1,36.30830386214626,1,0,1,183
2021-02-17,1,1,36.30830386214626,0,0,2,177
2021-02-18,1,1,36.30830386214626,0,0,3,163
2021-02-19,1,1,36.30830386214626,0,0,4,170
2021-02-20,1,1,36.30830386214626,0,0,5,173
2021-02-21,1,1,36.30830386214626,1,0,6,226
2021-02-22,1,1,36.30830386214626,1,1,0,259
2021-02-23,1,1,36.30830386214626,0,0,1,165
2021-02-24,1,1,36.30830386214626,0,0,2,155
2021-02-25,1,1,36.30830386214626,0,0,3,156
2021-02-26,1,1,36.30830386214626,0,0,4,173
2021-02-27,1,1,36.30830386214626,0,0,5,176
2021-02-28,1,1,36.30830386214626,0,0,6,152
2021-03-01,1,1,36.30830386214626,0,0,0,160
2021-03-02,1,1,36.30830386214626,0,0,1,169
2021-03-03,1,1,36.30830386214626,0,0,2,179
2021-03-04,1,1,36.30830386214626,0,0,3,153
2021-03-05,1,1,36.30830386214626,0,0,4,161
2021-03-06,1,1,36.30830386214626,0,0,5,148
2021-03-07,1,1,36.30830386214626,0,0,6,167
2021-03-08,1,1,36.30830386214626,0,0,0,165
2021-03-09,1,1,36.30830386214626,0,0,1,157
2021-03-10,1,1,36.30830386214626,0,0,2,159
2021-03-11,1,1,36.30830386214626,0,0,3,166
